release_date,collected_from,collected_to,NGC,target_name,filters,jpeg,proposal
2024-07-27,2023-07-20 16:36:24.895,2023-07-20 19:17:52.795,0,SN-2013EJ, 560 1000 1130 1280 1500 1800 2100 2550,mast:JWST/product/jw02666-o007_t004_miri_f560w_i2d.jpg,2666
2024-07-26,2023-07-25 03:51:35.788,2023-07-25 04:33:46.629,0,SN2014C-FOR-MIRI, 560 1000 1130,mast:JWST/product/jw02348-o003_t001_miri_f560w_i2d.jpg,2348
2024-07-26,2023-07-25 18:27:13.961,2023-07-25 20:39:39.517,5506,NGC5506, 560 1000 1500,mast:JWST/product/jw01670-o007_t001_miri_f560w-sub256_i2d.jpg,1670
2024-07-24,2024-07-23 15:24:37.423,2024-07-23 16:52:05.154,6300,NGC6300, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o116_t053_nircam_clear-f150w_i2d.jpg,3707
2024-07-22,2023-07-21 21:48:30.848,2023-07-21 22:57:45.186,0,SN-2005AF, 560 1000 1130 1280 1500 1800 2100 2550,mast:JWST/product/jw02666-o004_t002_miri_f560w_i2d.jpg,2666
2024-07-22,2023-07-21 23:33:10.906,2023-07-22 00:42:36.380,0,SN-2011JA, 560 1000 1130 1280 1500 1800 2100 2550,mast:JWST/product/jw02666-o006_t003_miri_f560w_i2d.jpg,2666
2024-07-22,2023-07-22 04:08:12.569,2023-07-22 05:06:32.845,0,N5643, 90 150 277,mast:JWST/product/jw01685-o012_t006_nircam_clear-f090w_i2d.jpg,1685
2024-07-21,2023-07-20 08:28:16.463,2023-07-20 13:59:45.646,602,NGC-602, 770 1000 1130 1500 2550,mast:JWST/product/jw02662-o004_t001_miri_f770w_i2d.jpg,2662
2024-07-21,2024-07-21 04:32:06.162,2024-07-21 06:57:22.753,5643,NGC5643, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o114_t052_nircam_clear-f150w_i2d.jpg,3707
2024-07-19,2023-07-13 23:46:24.957,2023-07-14 01:24:05.957,0,SN-2017HCC, 560  770 1000,mast:JWST/product/jw01860-o006_t005_miri_f560w_i2d.jpg,1860
2024-07-18,2023-07-17 16:50:05.343,2023-07-17 17:32:13.431,6240,NGC6240-INT, 560 1130,mast:JWST/product/jw01265-o003_t001_miri_f560w_i2d.jpg,1265
2024-07-16,2023-06-30 10:16:26.679,2023-07-15 17:04:09.125,0,N1559, 90 150 277,mast:JWST/product/jw01685-c1006_t001_nircam_clear-f090w_i2d.jpg,1685
2024-07-16,2023-07-15 15:53:06.570,2023-07-15 17:04:09.125,0,N1559, 90 150 277,mast:JWST/product/jw01685-o002_t001_nircam_clear-f090w_i2d.jpg,1685
2024-07-15,2023-07-14 13:06:11.792,2023-07-14 14:25:17.635,0,N5468, 90 150 277,mast:JWST/product/jw01685-o008_t004_nircam_clear-f090w_i2d.jpg,1685
2024-07-13,2023-07-12 19:11:55.561,2023-07-12 20:10:54.443,5643,NGC5643,115 356,mast:JWST/product/jw01995-o023_t022_niriss_clear-f115w_i2d.jpg,1995
2024-07-12,2024-05-06 01:11:27.130,2024-05-06 04:19:53.019,0,Interacting_Galaxy_Pair_NIRCam, 90 150 200 277 356 444,mast:JWST/product/jw06564-o002_t002_nircam_clear-f090w_i2d.jpg,6564
2024-07-12,2024-05-05 04:45:23.827,2024-05-06 23:49:11.670,0,Interacting_Galaxy_Pair_MIRI, 770 1000 1500,mast:JWST/product/jw06564-o001_t001_miri_f770w_i2d.jpg,6564
2024-07-07,2023-07-07 03:11:03.434,2023-07-07 04:08:40.766,0,N5643, 90 150 277,mast:JWST/product/jw01685-o011_t006_nircam_clear-f090w_i2d.jpg,1685
2024-07-02,2023-07-01 11:31:53.865,2023-07-01 12:34:40.442,253,NGC-253-IM-CENTER,140 164 212 250 335 360,mast:JWST/product/jw01701-o054_t021_nircam_clear-f140m-sub640_i2d.jpg,1701
2024-07-02,2024-07-02 11:48:45.981,2024-07-02 14:02:37.691,0,SNAP-2,"  90  115  140  150  158  200  277  356  380  430  444  480  560  770
 1000",mast:JWST/product/jw04498-o127_t002_niriss_clear-f090w-sub64_i2d.jpg,4498
2024-07-02,2023-07-01 23:13:08.020,2023-07-01 23:44:57.491,4418,NGC-4418, 770 1000 1130,mast:JWST/product/jw01991-o006_t003_miri_f770w-sub256_i2d.jpg,1991
2024-07-02,2023-07-02 15:38:29.246,2023-07-02 17:16:13.061,0,SN-1995N, 560  770 1000,mast:JWST/product/jw01860-o007_t006_miri_f560w_i2d.jpg,1860
2024-06-30,2024-06-30 14:11:07.632,2024-06-30 15:11:22.724,4694,NGC4694, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o194_t042_nircam_clear-f150w_i2d.jpg,3707
2024-06-28,2023-06-28 06:26:34.390,2023-06-28 07:45:29.440,0,N5468, 90 150 277,mast:JWST/product/jw01685-o007_t004_nircam_clear-f090w_i2d.jpg,1685
2024-06-28,2023-06-27 16:46:29.633,2023-06-27 17:49:09.265,4388,NGC-4388, 560 1000 1500 1800 2100,mast:JWST/product/jw02064-o009_t005_miri_f560w-sub256_i2d.jpg,2064
2024-06-25,2023-06-25 09:12:17.293,2023-06-25 10:24:04.256,4486,M-87-MIRI, 560  770 1130,mast:JWST/product/jw02016-o026_t026_miri_f560w_i2d.jpg,2016
