ion,n2-n1,vacuumwavel,r.err
DI,15-7,5.7099086E+00,7.7E-07
HI,15-7,5.7114622E+00,7.7E-07
HeII,18-12,5.9058030E+00,2.1E-06
DI,9-6,5.9066063E+00,1.4E-06
HI,9-6,5.9082134E+00,1.4E-06
HeII,22-13,5.9165100E+00,1.6E-06
DI,14-7,5.9552232E+00,8.1E-07
HI,14-7,5.9568435E+00,8.1E-07
HeII,15-11,5.9645592E+00,3.0E-06
HeII,21-13,6.2431028E+00,1.7E-06
DI,13-7,6.2902045E+00,8.6E-07
HI,13-7,6.2919160E+00,8.6E-07
DI,25-8,6.4992090E+00,5.6E-07
HI,25-8,6.5009774E+00,5.6E-07
HeII,25-14,6.5061340E+00,1.3E-06
HeII,17-12,6.5393760E+00,2.4E-06
DI,24-8,6.5629013E+00,5.6E-07
HI,24-8,6.5646869E+00,5.6E-07
DI,23-8,6.6366065E+00,5.7E-07
HI,23-8,6.6384122E+00,5.7E-07
HeII,20-13,6.6677425E+00,1.8E-06
DI,22-8,6.7226332E+00,5.8E-07
HI,22-8,6.7244623E+00,5.8E-07
HeII,24-14,6.7692284E+00,1.4E-06
DI,12-7,6.7701485E+00,9.3E-07
HI,12-7,6.7719906E+00,9.3E-07
DI,21-8,6.8240246E+00,5.9E-07
HI,21-8,6.8258813E+00,5.9E-07
DI,20-8,6.9448690E+00,6.0E-07
HI,20-8,6.9467586E+00,6.0E-07
HeII,9-8,6.9479843E+00,1.2E-05
DI,19-8,7.0907814E+00,6.1E-07
HI,19-8,7.0927107E+00,6.1E-07
HeII,23-14,7.0943356E+00,1.5E-06
HeII,14-11,7.2048345E+00,3.7E-06
HeII,19-13,7.2399705E+00,2.0E-06
DI,18-8,7.2696752E+00,6.3E-07
HI,18-8,7.2716531E+00,6.3E-07
HeII,12-10,7.4568161E+00,5.6E-06
DI,6-5,7.4578285E+00,3.6E-06
HI,6-5,7.4598577E+00,3.6E-06
DI,17-8,7.4930506E+00,6.5E-07
HI,17-8,7.4950894E+00,6.5E-07
HeII,16-12,7.4994331E+00,2.8E-06
DI,8-6,7.5004524E+00,1.9E-06
HI,8-6,7.5024932E+00,1.9E-06
HeII,22-14,7.5050427E+00,1.6E-06
DI,11-7,7.5060626E+00,1.0E-06
HI,11-7,7.5081049E+00,1.0E-06
DI,16-8,7.7782533E+00,6.7E-07
HI,16-8,7.7803696E+00,6.7E-07
HeII,25-15,8.0102646E+00,1.3E-06
HeII,21-14,8.0384592E+00,1.7E-06
HeII,18-13,8.0490412E+00,2.3E-06
DI,15-8,8.1526723E+00,7.1E-07
HI,15-8,8.1548905E+00,7.1E-07
HeII,24-15,8.4128319E+00,1.4E-06
DI,25-9,8.4826121E+00,4.9E-07
HI,25-9,8.4849202E+00,4.9E-07
DI,24-9,8.5914364E+00,5.0E-07
HI,24-9,8.5937739E+00,5.0E-07
DI,14-8,8.6621457E+00,7.6E-07
HI,14-8,8.6645026E+00,7.6E-07
DI,23-9,8.7181864E+00,5.0E-07
HI,23-9,8.7205585E+00,5.0E-07
HeII,20-14,8.7564917E+00,1.9E-06
DI,10-7,8.7576813E+00,1.3E-06
HI,10-7,8.7600642E+00,1.3E-06
DI,22-9,8.8672470E+00,5.1E-07
HI,22-9,8.8696597E+00,5.1E-07
HeII,23-15,8.9209055E+00,1.5E-06
DI,21-9,9.0445003E+00,5.2E-07
HI,21-9,9.0469612E+00,5.2E-07
HeII,15-12,9.1138950E+00,3.5E-06
DI,20-9,9.2580133E+00,5.4E-07
HI,20-9,9.2605322E+00,5.4E-07
HeII,17-13,9.2735807E+00,2.7E-06
DI,13-8,9.3894630E+00,8.3E-07
HI,13-8,9.3920177E+00,8.3E-07
DI,19-9,9.5191388E+00,5.5E-07
HI,19-9,9.5217289E+00,5.5E-07
HeII,22-15,9.5801533E+00,1.6E-06
HeII,13-11,9.7067692E+00,5.3E-06
HeII,10-9,9.7134755E+00,1.1E-05
HeII,19-14,9.7706530E+00,2.1E-06
DI,18-9,9.8443541E+00,5.7E-07
HI,18-9,9.8470326E+00,5.7E-07
HeII,25-16,9.8795697E+00,1.3E-06
DI,17-9,1.0258480E+01,6.0E-07
HI,17-9,1.0261271E+01,6.0E-07
HeII,21-15,1.0466747E+01,1.8E-06
HeII,24-16,1.0499216E+01,1.4E-06
DI,12-8,1.0500642E+01,9.4E-07
HI,12-8,1.0503499E+01,9.4E-07
DI,16-9,1.0800663E+01,6.3E-07
HI,16-9,1.0803602E+01,6.3E-07
DI,25-10,1.0851362E+01,4.4E-07
HI,25-10,1.0854315E+01,4.4E-07
DI,24-10,1.1030091E+01,4.4E-07
HI,24-10,1.1033092E+01,4.4E-07
DI,23-10,1.1239887E+01,4.5E-07
HI,23-10,1.1242945E+01,4.5E-07
HeII,23-16,1.1302576E+01,1.5E-06
HeII,18-14,1.1304085E+01,2.5E-06
DI,9-7,1.1305619E+01,1.7E-06
HI,9-7,1.1308695E+01,1.7E-06
HeII,16-13,1.1330566E+01,3.4E-06
DI,22-10,1.1488880E+01,4.6E-07
HI,22-10,1.1492006E+01,4.6E-07
DI,15-9,1.1536353E+01,6.8E-07
HI,15-9,1.1539492E+01,6.8E-07
HeII,20-15,1.1717874E+01,2.0E-06
DI,21-10,1.1788207E+01,4.8E-07
HI,21-10,1.1791415E+01,4.8E-07
DI,20-10,1.2153526E+01,4.9E-07
HI,20-10,1.2156833E+01,4.9E-07
HeII,25-17,1.2248505E+01,1.3E-06
HeII,14-12,1.2366855E+01,5.0E-06
DI,7-6,1.2368533E+01,3.3E-06
HI,7-6,1.2371898E+01,3.3E-06
HeII,22-16,1.2382118E+01,1.7E-06
DI,11-8,1.2383798E+01,1.1E-06
HI,11-8,1.2387168E+01,1.1E-06
DI,14-9,1.2583653E+01,7.5E-07
HI,14-9,1.2587077E+01,7.5E-07
DI,19-10,1.2607537E+01,5.1E-07
HI,19-10,1.2610967E+01,5.1E-07
HeII,11-10,1.3128335E+01,1.1E-05
DI,18-10,1.3184405E+01,5.4E-07
HI,18-10,1.3187993E+01,5.4E-07
HeII,24-17,1.3215480E+01,1.5E-06
HeII,19-15,1.3608028E+01,2.4E-06
DI,25-11,1.3677240E+01,4.0E-07
HI,25-11,1.3680961E+01,4.0E-07
HeII,17-14,1.3877629E+01,3.2E-06
HeII,21-16,1.3904369E+01,1.9E-06
DI,17-10,1.3937972E+01,5.7E-07
HI,17-10,1.3941764E+01,5.7E-07
DI,24-11,1.3962400E+01,4.1E-07
HI,24-11,1.3966199E+01,4.1E-07
DI,13-9,1.4179226E+01,8.6E-07
HI,13-9,1.4183084E+01,8.6E-07
DI,23-11,1.4300278E+01,4.2E-07
HI,23-11,1.4304169E+01,4.2E-07
HeII,23-17,1.4513989E+01,1.6E-06
DI,22-11,1.4705768E+01,4.3E-07
HI,22-11,1.4709769E+01,4.3E-07
DI,16-10,1.4958186E+01,6.2E-07
HI,16-10,1.4962256E+01,6.2E-07
DI,21-11,1.5199790E+01,4.5E-07
HI,21-11,1.5203926E+01,4.5E-07
HeII,25-18,1.5328622E+01,1.4E-06
HeII,15-13,1.5471250E+01,4.9E-06
DI,20-11,1.5812654E+01,4.7E-07
HI,20-11,1.5816956E+01,4.7E-07
HeII,20-16,1.6202497E+01,2.3E-06
DI,10-8,1.6204695E+01,1.6E-06
HI,10-8,1.6209104E+01,1.6E-06
HeII,22-17,1.6343803E+01,1.9E-06
DI,15-10,1.6407260E+01,6.9E-07
HI,15-10,1.6411724E+01,6.9E-07
DI,19-11,1.6589945E+01,4.9E-07
HI,19-11,1.6594459E+01,4.9E-07
HeII,18-15,1.6777867E+01,3.1E-06
HeII,24-18,1.6873747E+01,1.6E-06
DI,12-9,1.6876036E+01,1.1E-06
HI,12-9,1.6880628E+01,1.1E-06
DI,25-12,1.7055368E+01,3.7E-07
HI,25-12,1.7060008E+01,3.7E-07
HeII,12-11,1.7260917E+01,1.0E-05
DI,24-12,1.7501081E+01,3.8E-07
HI,24-12,1.7505843E+01,3.8E-07
DI,18-11,1.7603457E+01,5.2E-07
HI,18-11,1.7608246E+01,5.2E-07
DI,23-12,1.8035205E+01,3.9E-07
HI,23-12,1.8040112E+01,3.9E-07
DI,14-10,1.8610087E+01,8.0E-07
HI,14-10,1.8615151E+01,8.0E-07
DI,22-12,1.8684978E+01,4.1E-07
HI,22-12,1.8690062E+01,4.1E-07
DI,17-11,1.8973067E+01,5.7E-07
HI,17-11,1.8978230E+01,5.7E-07
HeII,23-18,1.9049844E+01,1.8E-06
HeII,16-14,1.9054130E+01,4.7E-06
DI,8-7,1.9056713E+01,3.1E-06
HI,8-7,1.9061898E+01,3.1E-06
HeII,21-17,1.9104576E+01,2.3E-06
HeII,25-19,1.9472779E+01,1.5E-06
DI,21-12,1.9489841E+01,4.3E-07
HI,21-12,1.9495144E+01,4.3E-07
HeII,19-16,2.0054063E+01,3.0E-06
DI,20-12,2.0509080E+01,4.5E-07
HI,20-12,2.0514660E+01,4.5E-07
DI,16-11,2.0914871E+01,6.4E-07
HI,16-11,2.0920562E+01,6.4E-07
DI,25-13,2.1113760E+01,3.5E-07
HI,25-13,2.1119505E+01,3.5E-07
DI,24-13,2.1801103E+01,3.6E-07
HI,24-13,2.1807035E+01,3.6E-07
DI,19-12,2.1836027E+01,4.9E-07
HI,19-12,2.1841968E+01,4.9E-07
HeII,24-19,2.2036158E+01,1.7E-06
HeII,13-12,2.2179576E+01,9.8E-06
DI,13-10,2.2325500E+01,9.9E-07
HeII,22-18,2.2331352E+01,2.2E-06
HI,13-10,2.2331574E+01,9.9E-07
DI,11-9,2.2334380E+01,1.5E-06
HI,11-9,2.2340457E+01,1.5E-06
DI,23-13,2.2636203E+01,3.8E-07
HI,23-13,2.2642362E+01,3.8E-07
HeII,17-15,2.3149672E+01,4.5E-06
DI,18-12,2.3626460E+01,5.3E-07
HI,18-12,2.3632889E+01,5.3E-07
DI,22-13,2.3669289E+01,4.0E-07
HI,22-13,2.3675729E+01,4.0E-07
HeII,20-17,2.3729000E+01,2.9E-06
DI,15-11,2.3861524E+01,7.5E-07
HI,15-11,2.3868016E+01,7.5E-07
DI,21-13,2.4975839E+01,4.2E-07
HI,21-13,2.4982635E+01,4.2E-07
HeII,25-20,2.5316414E+01,1.7E-06
HeII,23-19,2.5899911E+01,2.1E-06
DI,25-14,2.6028104E+01,3.4E-07
HI,25-14,2.6035185E+01,3.4E-07
DI,17-12,2.6161100E+01,6.0E-07
HI,17-12,2.6168218E+01,6.0E-07
DI,20-13,2.6674631E+01,4.5E-07
HI,20-13,2.6681889E+01,4.5E-07
DI,24-14,2.7080625E+01,3.5E-07
HI,24-14,2.7087993E+01,3.5E-07
HeII,18-16,2.7792051E+01,4.4E-06
DI,9-8,2.7795817E+01,2.9E-06
HI,9-8,2.7803379E+01,2.9E-06
HeII,21-18,2.7825462E+01,2.8E-06
HeII,14-13,2.7952665E+01,9.4E-06
DI,23-14,2.8381232E+01,3.7E-07
HI,23-14,2.8388954E+01,3.7E-07
DI,14-11,2.8823307E+01,9.3E-07
HI,14-11,2.8831150E+01,9.3E-07
DI,19-13,2.8963856E+01,5.0E-07
HI,19-13,2.8971737E+01,5.0E-07
HeII,24-20,2.9827340E+01,2.0E-06
DI,12-10,2.9831384E+01,1.4E-06
HI,12-10,2.9839500E+01,1.4E-06
DI,16-12,3.0001855E+01,7.0E-07
HI,16-12,3.0010018E+01,7.0E-07
DI,22-14,3.0024285E+01,3.9E-07
HI,22-14,3.0032455E+01,3.9E-07
DI,25-15,3.2045445E+01,3.3E-07
HI,25-15,3.2054164E+01,3.3E-07
DI,21-14,3.2158243E+01,4.3E-07
HI,21-14,3.2166993E+01,4.3E-07
DI,18-13,3.2200582E+01,5.6E-07
HI,18-13,3.2209344E+01,5.6E-07
HeII,22-19,3.2366232E+01,2.7E-06
HeII,19-17,3.3015445E+01,4.2E-06
DI,24-15,3.3655934E+01,3.5E-07
HI,24-15,3.3665091E+01,3.5E-07
HeII,25-21,3.4130727E+01,2.0E-06
HeII,15-14,3.4648539E+01,9.1E-06
DI,20-14,3.5030766E+01,4.7E-07
HI,20-14,3.5040297E+01,4.7E-07
DI,23-15,3.5688506E+01,3.7E-07
HI,23-15,3.5698216E+01,3.7E-07
DI,15-12,3.6460589E+01,8.8E-07
HI,15-12,3.6470509E+01,8.8E-07
DI,17-13,3.7099411E+01,6.7E-07
HI,17-13,3.7109505E+01,6.7E-07
HeII,23-20,3.7374096E+01,2.7E-06
DI,22-15,3.8325857E+01,4.0E-07
HI,22-15,3.8336285E+01,4.0E-07
DI,13-11,3.8832422E+01,1.3E-06
HI,13-11,3.8842988E+01,1.3E-06
HeII,20-18,3.8854030E+01,4.1E-06
DI,10-9,3.8859294E+01,2.8E-06
HI,10-9,3.8869867E+01,2.8E-06
DI,19-14,3.9087966E+01,5.3E-07
HI,19-14,3.9098601E+01,5.3E-07
DI,25-16,3.9523682E+01,3.3E-07
HI,25-16,3.9534436E+01,3.3E-07
DI,21-15,4.1872715E+01,4.5E-07
HI,21-15,4.1884108E+01,4.5E-07
DI,24-16,4.2002608E+01,3.5E-07
HI,24-16,4.2014036E+01,3.5E-07
HeII,16-15,4.2335553E+01,8.8E-06
HeII,24-21,4.2871836E+01,2.6E-06
DI,23-16,4.5216482E+01,3.8E-07
DI,18-14,4.5222530E+01,6.3E-07
HI,23-16,4.5228785E+01,3.8E-07
HI,18-14,4.5234835E+01,6.3E-07
DI,16-13,4.5328478E+01,8.4E-07
HI,16-13,4.5340812E+01,8.4E-07
HeII,21-19,4.5341984E+01,4.0E-06
DI,20-15,4.6877909E+01,5.1E-07
HI,20-15,4.6890664E+01,5.1E-07
HeII,25-22,4.8882238E+01,2.5E-06
DI,25-17,4.9000711E+01,3.3E-07
HI,25-17,4.9014044E+01,3.3E-07
DI,14-12,4.9474215E+01,1.3E-06
HI,14-12,4.9487676E+01,1.3E-06
DI,22-16,4.9535240E+01,4.3E-07
HI,22-16,4.9548717E+01,4.3E-07
HeII,17-16,5.1082060E+01,8.5E-06
HeII,22-20,5.2513484E+01,3.9E-06
DI,11-10,5.2520596E+01,2.7E-06
HI,11-10,5.2534886E+01,2.7E-06
DI,24-17,5.2869138E+01,3.6E-07
HI,24-17,5.2883523E+01,3.6E-07
DI,19-15,5.4439557E+01,6.1E-07
HI,19-15,5.4454370E+01,6.1E-07
DI,17-14,5.5518116E+01,8.1E-07
HI,17-14,5.5533222E+01,8.1E-07
DI,21-16,5.5625076E+01,4.9E-07
HI,21-16,5.5640211E+01,4.9E-07
DI,23-17,5.8063884E+01,4.1E-07
HI,23-17,5.8079682E+01,4.1E-07
HeII,23-21,6.0402706E+01,3.8E-06
HeII,18-17,6.0956415E+01,8.3E-06
DI,25-18,6.1322853E+01,3.5E-07
HI,25-18,6.1339538E+01,3.5E-07
DI,15-13,6.1893484E+01,1.2E-06
HI,15-13,6.1910324E+01,1.2E-06
DI,20-16,6.4818841E+01,5.8E-07
HI,20-16,6.4836477E+01,5.8E-07
DI,22-17,6.5384138E+01,4.7E-07
HI,22-17,6.5401928E+01,4.7E-07
DI,18-15,6.7120644E+01,7.8E-07
HI,18-15,6.7138907E+01,7.8E-07
DI,24-18,6.7504197E+01,3.9E-07
HI,24-18,6.7522564E+01,3.9E-07
HeII,24-22,6.9043827E+01,3.7E-06
DI,12-11,6.9053177E+01,2.5E-06
HI,12-11,6.9071965E+01,2.5E-06
HeII,19-18,7.2026972E+01,8.1E-06
DI,23-18,7.6209769E+01,4.5E-07
DI,16-14,7.6226951E+01,1.2E-06
HI,23-18,7.6230505E+01,4.5E-07
HI,16-14,7.6247691E+01,1.2E-06
DI,21-17,7.6428733E+01,5.6E-07
HI,21-17,7.6449528E+01,5.6E-07
DI,25-19,7.7901735E+01,3.8E-07
HI,25-19,7.7922931E+01,3.8E-07
HeII,25-23,7.8471025E+01,3.6E-06
DI,19-16,8.0227206E+01,7.5E-07
HI,19-16,8.0249035E+01,7.5E-07
HeII,20-19,8.4362086E+01,7.9E-06
DI,24-19,8.8156648E+01,4.4E-07
HI,24-19,8.8180634E+01,4.4E-07
DI,13-12,8.8730489E+01,2.4E-06
HI,13-12,8.8754631E+01,2.4E-06
DI,22-18,8.9337588E+01,5.4E-07
HI,22-18,8.9361895E+01,5.4E-07
DI,17-15,9.2611342E+01,1.1E-06
HI,17-15,9.2636540E+01,1.1E-06
DI,20-17,9.4928950E+01,7.3E-07
HI,20-17,9.4954779E+01,7.3E-07
HeII,21-20,9.8030112E+01,7.7E-06
DI,25-20,1.0127945E+02,4.2E-07
HI,25-20,1.0130701E+02,4.2E-07
DI,23-19,1.0361376E+02,5.3E-07
HI,23-19,1.0364195E+02,5.3E-07
DI,18-16,1.1118338E+02,1.1E-06
HI,18-16,1.1121363E+02,1.1E-06
DI,21-18,1.1131702E+02,7.0E-07
HI,21-18,1.1134731E+02,7.0E-07
