obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,t_max,t_obs_release,dataURL
262999451,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1086_t000_nircam_clear-f090w_i2d.jpg,2025-05-08 21:31:21.873,2025-05-09 03:50:15.998,mast:JWST/product/jw06434-c1086_t000_nircam_clear-f090w_i2d.fits
262999507,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1086_t000_nircam_clear-f150w_i2d.jpg,2025-05-08 23:20:24.523,2025-05-09 03:50:15.998,mast:JWST/product/jw06434-c1086_t000_nircam_clear-f150w_i2d.fits
262999450,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1086_t000_nircam_clear-f335m_i2d.jpg,2025-05-08 21:31:21.873,2025-05-09 03:50:15.998,mast:JWST/product/jw06434-c1086_t000_nircam_clear-f335m_i2d.fits
262998899,5893,"Kakiichi, Koki",C3D-05_CWEBTILE-5-3,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o005_t005_nircam_clear-f356w_i2d.jpg,2025-05-08 12:54:02.307,2025-05-09 01:38:50.995,mast:JWST/product/jw05893-o005_t005_nircam_clear-f356w_i2d.fits
262999845,5893,"Kakiichi, Koki",C3D-05_CWEBTILE-5-3,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o005_t005_nircam_clear-f115w_i2d.jpg,2025-05-08 12:54:02.307,2025-05-09 01:38:50.995,mast:JWST/product/jw05893-o005_t005_nircam_clear-f115w_i2d.fits
262998665,5893,"Kakiichi, Koki",C3D-05_CWEBTILE-5-3,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o005_t005_miri_f1000w_i2d.jpg,2025-05-08 12:53:54.563,2025-05-09 01:38:34.995,mast:JWST/product/jw05893-o005_t005_miri_f1000w_i2d.fits
262998437,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f200w_i2d.jpg,2025-05-08 17:35:35.923,2025-05-09 00:28:09.996,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f200w_i2d.fits
262998436,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f090w_i2d.jpg,2025-05-08 18:13:10.556,2025-05-09 00:28:09.996,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f090w_i2d.fits
262998434,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f356w_i2d.jpg,2025-05-08 18:50:56.026,2025-05-09 00:28:09.996,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f356w_i2d.fits
262998435,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f070w_i2d.jpg,2025-05-08 18:50:56.026,2025-05-09 00:28:09.996,mast:JWST/product/jw06434-c1083_t000_nircam_clear-f070w_i2d.fits
262998409,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1082_t000_nircam_clear-f090w_i2d.jpg,2025-05-08 15:25:38.234,2025-05-08 23:49:33.990,mast:JWST/product/jw06434-c1082_t000_nircam_clear-f090w_i2d.fits
