Species,Transition,Lambda(mu),E_l(cm-1),Reference
OH1/2-1/2,7/2--5/2+4-3,71.170752,288.77,Varberg&Evanson1993
OH1/2-1/2,7/2--5/2+3-2,71.170850,288.77,Varberg&Evanson1993
OH1/2-1/2,7/2+-5/2-4-3,71.215827,289.05,Varberg&Evanson1993
OH1/2-1/2,7/2+-5/2-3-2,71.215869,289.05,Varberg&Evanson1993
o-H2O,7_07-6_16,71.9460,447.25,HITRAN
CO,36-35,72.8428544,2412.68,Varberg&Evanson1992
CO,35-34,74.8900599,2279.15,Varberg&Evanson1992
o-H2O,3_21-2_12,75.3804,79.50,HITRAN
CO,34-33,77.0586994,2149.38,Varberg&Evanson1992
o-H2O,4_23-3_12,78.7414,173.37,HITRAN
OH1/2-3/2,1/2--3/2+1-2,79.117296,0.00,Varberg&Evanson1993
OH1/2-3/2,1/2--3/2+0-1,79.118034,0.00,Varberg&Evanson1993
OH1/2-3/2,1/2+-3/2-1-2,79.181726,0.06,Varberg&Evanson1993
OH1/2-3/2,1/2+-3/2-0-1,79.180928,0.06,Varberg&Evanson1993
CO,33-32,79.3598104,2023.37,Varberg&Evanson1992
CO,32-31,81.8058100,1901.13,Varberg&Evanson1992
o-H2O,6_16-5_05,82.0304,325.35,HITRAN
p-H2O,6_06-5_15,83.2831,326.63,HITRAN
CO,31-30,84.4107173,1782.66,Varberg&Evanson1992
OH3/2-3/2,7/2+-5/2-4-3,84.420391,83.93,Varberg&Evanson1993
OH3/2-3/2,7/2+-5/2-3-2,84.419938,83.93,Varberg&Evanson1993
OH3/2-3/2,7/2--5/2+4-3,84.596825,83.72,Varberg&Evanson1993
OH3/2-3/2,7/2--5/2+3-2,84.596312,83.72,Varberg&Evanson1993
CO,30-29,87.1904213,1667.97,Varberg&Evanson1992
p-H2O,3_22-2_11,89.9878,95.18,HITRAN
CO,29-28,90.1630019,1557.06,Varberg&Evanson1992
CO,28-27,93.3491227,1449.94,Varberg&Evanson1992
p-H2O,5_15-4_04,95.6263,222.05,HITRAN
OH3/2-1/2,3/2+-5/2-2-3,96.312205,83.92,Varberg&Evanson1993
OH3/2-1/2,3/2+-5/2-1-2,96.313812,83.92,Varberg&Evanson1993
OH3/2-1/2,3/2--5/2+2-3,96.367469,83.72,Varberg&Evanson1993
OH3/2-1/2,3/2--5/2+1-2,96.367404,83.72,Varberg&Evanson1993
CO,27-26,96.7725080,1346.60,Varberg&Evanson1992
OH1/2-1/2,5/2--3/2+3-2,98.724877,187.75,Varberg&Evanson1993
OH1/2-1/2,5/2--3/2+2-1,98.724920,187.75,Varberg&Evanson1993
OH1/2-1/2,5/2+-3/2-3-2,98.736890,187.49,Varberg&Evanson1993
OH1/2-1/2,5/2+-3/2-2-1,98.737085,187.49,Varberg&Evanson1993
o-H2O,5_05-4_14,99.4924,224.84,HITRAN
CO,26-25,100.4605323,1247.06,Varberg&Evanson1992
o-H2O,5_14-4_23,100.9127,300.36,HITRAN
p-H2O,2_20-1_11,100.9828,37.14,HITRAN
p-H218O,2_20-1_11,102.004,36.75,HITRAN
CO,25-24,104.4449505,1151.32,Varberg&Evanson1992
o-H2O,2_21-1_10,108.0730,42.37,HITRAN
CO,24-23,108.7628094,1059.37,Varberg&Evanson1992
o-H218O,2_21-1_10,109.347,42.02,HITRAN
HD,(0;0)R(0)112.07251,0.00,Ulivietal.1991
CO,23-22,113.4575993,971.23,Varberg&Evanson1992
o-H2O,4_14-3_03,113.5366,136.76,HITRAN
OH1/2-3/2,5/2+-7/2-3-4,115.1530,201.93,HITRAN
OH1/2-3/2,5/2+-7/2-2-3,115.1541,201.93,HITRAN
OH1/2-3/2,5/2--7/2+3-4,115.3858,202.38,HITRAN
OH1/2-3/2,5/2--7/2+2-3,115.3890,202.38,HITRAN
o-H2O,7_34-6_43,116.7836,85.63,HITRAN
CO,22-21,118.5807176,886.90,Varberg&Evanson1992
