,file,x,y
0,Moris20220927/mor.2022B026.220927.DART2.00001.a.fits,233,330
1,Moris20220927/mor.2022B026.220927.DART2.00002.a.fits,234,329
2,Moris20220927/mor.2022B026.220927.DART2.00003.a.fits,237,330
3,Moris20220927/mor.2022B026.220927.DART2.00004.a.fits,237,330
4,Moris20220927/mor.2022B026.220927.DART2.00005.a.fits,237,331
5,Moris20220927/mor.2022B026.220927.DART2.00006.a.fits,236,331
6,Moris20220927/mor.2022B026.220927.DART2.00007.a.fits,238,331
7,Moris20220927/mor.2022B026.220927.DART2.00008.a.fits,237,332
8,Moris20220927/mor.2022B026.220927.DART2.00009.a.fits,235,332
9,Moris20220927/mor.2022B026.220927.DART2.00010.a.fits,232,332
10,Moris20220927/mor.2022B026.220927.DART2.00011.a.fits,235,332
11,Moris20220927/mor.2022B026.220927.DART2.00012.a.fits,236,331
12,Moris20220927/mor.2022B026.220927.DART2.00013.a.fits,237,329
13,Moris20220927/mor.2022B026.220927.DART2.00014.a.fits,236,330
14,Moris20220927/mor.2022B026.220927.DART2.00015.a.fits,235,330
15,Moris20220927/mor.2022B026.220927.DART2.00016.a.fits,236,332
16,Moris20220927/mor.2022B026.220927.DART2.00017.a.fits,235,332
17,Moris20220927/mor.2022B026.220927.DART2.00018.a.fits,234,333
18,Moris20220927/mor.2022B026.220927.DART2.00019.a.fits,233,332
19,Moris20220927/mor.2022B026.220927.DART2.00020.a.fits,234,331
20,Moris20220927/mor.2022B026.220927.DART2.00021.a.fits,233,331
21,Moris20220927/mor.2022B026.220927.DART2.00022.a.fits,233,332
22,Moris20220927/mor.2022B026.220927.DART2.00023.a.fits,236,330
23,Moris20220927/mor.2022B026.220927.DART2.00024.a.fits,236,330
24,Moris20220927/mor.2022B026.220927.DART2.00025.a.fits,236,328
25,Moris20220927/mor.2022B026.220927.DART2.00026.a.fits,237,328
26,Moris20220927/mor.2022B026.220927.DART2.00027.a.fits,236,332
27,Moris20220927/mor.2022B026.220927.DART2.00028.a.fits,237,331
28,Moris20220927/mor.2022B026.220927.DART2.00029.a.fits,237,332
29,Moris20220927/mor.2022B026.220927.DART2.00030.a.fits,237,332
30,Moris20220927/mor.2022B026.220927.DART2.00031.a.fits,236,330
31,Moris20220927/mor.2022B026.220927.DART2.00032.a.fits,235,330
32,Moris20220927/mor.2022B026.220927.DART2.00033.a.fits,235,332
33,Moris20220927/mor.2022B026.220927.DART2.00034.a.fits,235,332
34,Moris20220927/mor.2022B026.220927.DART2.00035.a.fits,231,332
35,Moris20220927/mor.2022B026.220927.DART2.00036.a.fits,234,331
36,Moris20220927/mor.2022B026.220927.DART2.00037.a.fits,236,330
37,Moris20220927/mor.2022B026.220927.DART2.00038.a.fits,236,329
38,Moris20220927/mor.2022B026.220927.DART2.00039.a.fits,235,329
39,Moris20220927/mor.2022B026.220927.DART2.00040.a.fits,235,329
40,Moris20220927/mor.2022B026.220927.DART2.00041.a.fits,236,330
41,Moris20220927/mor.2022B026.220927.DART2.00042.a.fits,237,330
42,Moris20220927/mor.2022B026.220927.DART2.00043.a.fits,236,331
43,Moris20220927/mor.2022B026.220927.DART2.00044.a.fits,236,331
44,Moris20220927/mor.2022B026.220927.DART2.00045.a.fits,236,331
45,Moris20220927/mor.2022B026.220927.DART2.00046.a.fits,234,330
46,Moris20220927/mor.2022B026.220927.DART2.00047.a.fits,233,332
47,Moris20220927/mor.2022B026.220927.DART2.00048.a.fits,236,330
48,Moris20220927/mor.2022B026.220927.DART2.00049.a.fits,300,326
49,Moris20220927/mor.2022B026.220927.DART2.00050.a.fits,299,326
50,Moris20220927/mor.2022B026.220927.DART2.00051.a.fits,299,325
51,Moris20220927/mor.2022B026.220927.DART2.00052.a.fits,300,326
52,Moris20220927/mor.2022B026.220927.DART2.00053.a.fits,299,325
53,Moris20220927/mor.2022B026.220927.DART2.00054.a.fits,300,327
54,Moris20220927/mor.2022B026.220927.DART2.00055.a.fits,300,325
55,Moris20220927/mor.2022B026.220927.DART2.00056.a.fits,298,326
56,Moris20220927/mor.2022B026.220927.DART2.00057.a.fits,300,324
57,Moris20220927/mor.2022B026.220927.DART2.00058.a.fits,299,325
58,Moris20220927/mor.2022B026.220927.DART2.00059.a.fits,298,325
59,Moris20220927/mor.2022B026.220927.DART2.00060.a.fits,299,323
60,Moris20220927/mor.2022B026.220927.DART2.00061.a.fits,299,326
61,Moris20220927/mor.2022B026.220927.DART2.00062.a.fits,300,325
62,Moris20220927/mor.2022B026.220927.DART2.00063.a.fits,300,324
63,Moris20220927/mor.2022B026.220927.DART2.00064.a.fits,301,325
64,Moris20220927/mor.2022B026.220927.DART2.00065.a.fits,301,325
65,Moris20220927/mor.2022B026.220927.DART2.00066.a.fits,299,326
66,Moris20220927/mor.2022B026.220927.DART2.00067.a.fits,298,326
67,Moris20220927/mor.2022B026.220927.DART2.00068.a.fits,299,326
68,Moris20220927/mor.2022B026.220927.DART2.00069.a.fits,299,325
69,Moris20220927/mor.2022B026.220927.DART2.00070.a.fits,301,326
70,Moris20220927/mor.2022B026.220927.DART2.00071.a.fits,301,324
71,Moris20220927/mor.2022B026.220927.DART2.00072.a.fits,298,325
72,Moris20220927/mor.2022B026.220927.DART2.00073.a.fits,298,325
73,Moris20220927/mor.2022B026.220927.DART2.00074.a.fits,298,326
74,Moris20220927/mor.2022B026.220927.DART2.00075.a.fits,298,325
75,Moris20220927/mor.2022B026.220927.DART2.00076.a.fits,298,328
76,Moris20220927/mor.2022B026.220927.DART2.00077.a.fits,296,325
77,Moris20220927/mor.2022B026.220927.DART2.00078.a.fits,298,324
78,Moris20220927/mor.2022B026.220927.DART2.00079.a.fits,299,327
79,Moris20220927/mor.2022B026.220927.DART2.00080.a.fits,298,326
80,Moris20220927/mor.2022B026.220927.DART2.00081.a.fits,299,324
81,Moris20220927/mor.2022B026.220927.DART2.00082.a.fits,299,325
82,Moris20220927/mor.2022B026.220927.DART2.00083.a.fits,299,325
83,Moris20220927/mor.2022B026.220927.DART2.00084.a.fits,299,325
84,Moris20220927/mor.2022B026.220927.DART2.00085.a.fits,296,326
85,Moris20220927/mor.2022B026.220927.DART2.00086.a.fits,294,326
86,Moris20220927/mor.2022B026.220927.DART2.00087.a.fits,295,325
87,Moris20220927/mor.2022B026.220927.DART2.00088.a.fits,299,325
88,Moris20220927/mor.2022B026.220927.DART2.00089.a.fits,302,324
