file,x,y,peak,sky,airmass,filter,time
Moris20220926/mor.2022B026.220926.DART1.00052.a.fits,276,330,425,201.693359375,1.678,Johnson_V,13:29:49.612628
Moris20220926/mor.2022B026.220926.DART1.00053.a.fits,277,331,427,201.697265625,1.678,Johnson_V,13:29:56.101816
Moris20220926/mor.2022B026.220926.DART1.00054.a.fits,277,331,455,201.73828125,1.678,Johnson_V,13:30:02.610866
Moris20220926/mor.2022B026.220926.DART1.00055.a.fits,276,330,471,201.625,1.678,Johnson_V,13:30:09.131102
Moris20220926/mor.2022B026.220926.DART1.00056.a.fits,276,330,469,201.72265625,1.678,Johnson_V,13:30:15.651638
Moris20220926/mor.2022B026.220926.DART1.00057.a.fits,213,331,396,201.673828125,1.678,Johnson_V,13:30:22.148175
Moris20220926/mor.2022B026.220926.DART1.00058.a.fits,212,331,444,201.763671875,1.678,Johnson_V,13:30:28.640972
Moris20220926/mor.2022B026.220926.DART1.00059.a.fits,212,330,455,201.640625,1.678,Johnson_V,13:30:35.142310
Moris20220926/mor.2022B026.220926.DART1.00060.a.fits,211,331,459,201.630859375,1.678,Johnson_V,13:30:42.111210
Moris20220926/mor.2022B026.220926.DART1.00061.a.fits,212,330,470,201.80859375,1.678,Johnson_V,13:30:48.620270
Moris20220926/mor.2022B026.220926.DART1.00062.a.fits,213,331,465,201.650390625,1.678,Johnson_V,13:30:55.102661
Moris20220926/mor.2022B026.220926.DART1.00063.a.fits,212,331,464,201.767578125,1.678,Johnson_V,13:31:01.613490
Moris20220926/mor.2022B026.220926.DART1.00064.a.fits,213,331,485,201.60546875,1.678,Johnson_V,13:31:08.129413
Moris20220926/mor.2022B026.220926.DART1.00065.a.fits,214,331,471,201.6875,1.678,Johnson_V,13:31:14.622924
Moris20220926/mor.2022B026.220926.DART1.00066.a.fits,213,331,440,201.671875,1.678,Johnson_V,13:31:21.121865
Moris20220926/mor.2022B026.220926.DART1.00067.a.fits,212,331,443,201.625,1.678,Johnson_V,13:31:27.631866
Moris20220926/mor.2022B026.220926.DART1.00068.a.fits,212,331,419,201.662109375,1.678,Johnson_V,13:31:34.141041
Moris20220926/mor.2022B026.220926.DART1.00069.a.fits,213,332,443,201.671875,1.678,Johnson_V,13:31:40.640763
Moris20220926/mor.2022B026.220926.DART1.00070.a.fits,213,330,432,201.611328125,1.678,Johnson_V,13:31:47.132650
Moris20220926/mor.2022B026.220926.DART1.00071.a.fits,213,331,472,201.705078125,1.678,Johnson_V,13:31:53.621584
Moris20220926/mor.2022B026.220926.DART1.00072.a.fits,213,332,471,201.607421875,1.679,Johnson_V,13:32:00.122811
Moris20220926/mor.2022B026.220926.DART1.00073.a.fits,212,329,462,201.5703125,1.679,Johnson_V,13:32:06.621227
Moris20220926/mor.2022B026.220926.DART1.00074.a.fits,213,331,467,201.544921875,1.679,Johnson_V,13:32:13.129838
Moris20220926/mor.2022B026.220926.DART1.00075.a.fits,214,331,464,201.705078125,1.679,Johnson_V,13:32:19.629988
Moris20220926/mor.2022B026.220926.DART1.00076.a.fits,212,330,508,201.62890625,1.679,Johnson_V,13:32:26.161414
Moris20220926/mor.2022B026.220926.DART1.00077.a.fits,213,331,503,201.669921875,1.679,Johnson_V,13:32:32.672453
Moris20220926/mor.2022B026.220926.DART1.00078.a.fits,212,331,491,201.701171875,1.679,Johnson_V,13:32:39.161570
Moris20220926/mor.2022B026.220926.DART1.00079.a.fits,212,330,465,201.599609375,1.679,Johnson_V,13:32:45.712276
Moris20220926/mor.2022B026.220926.DART1.00080.a.fits,212,331,525,201.66796875,1.679,Johnson_V,13:32:52.202458
Moris20220926/mor.2022B026.220926.DART1.00081.a.fits,212,330,515,201.7734375,1.679,Johnson_V,13:32:58.682944
Moris20220926/mor.2022B026.220926.DART1.00082.a.fits,212,330,503,201.54296875,1.679,Johnson_V,13:33:05.162454
Moris20220926/mor.2022B026.220926.DART1.00083.a.fits,212,332,464,201.6953125,1.679,Johnson_V,13:33:11.642310
Moris20220926/mor.2022B026.220926.DART1.00084.a.fits,213,331,463,201.595703125,1.679,Johnson_V,13:33:18.133153
Moris20220926/mor.2022B026.220926.DART1.00085.a.fits,213,330,435,201.580078125,1.679,Johnson_V,13:33:24.632046
Moris20220926/mor.2022B026.220926.DART1.00086.a.fits,213,331,443,201.62109375,1.679,Johnson_V,13:33:31.141533
Moris20220926/mor.2022B026.220926.DART1.00087.a.fits,213,331,458,201.658203125,1.679,Johnson_V,13:33:37.653366
Moris20220926/mor.2022B026.220926.DART1.00088.a.fits,213,331,458,201.650390625,1.679,Johnson_V,13:33:44.163131
Moris20220926/mor.2022B026.220926.DART1.00089.a.fits,213,329,488,201.572265625,1.68,Johnson_V,13:33:50.662205
Moris20220926/mor.2022B026.220926.DART1.00090.a.fits,213,330,480,201.5546875,1.68,Johnson_V,13:33:57.141372
Moris20220926/mor.2022B026.220926.DART1.00091.a.fits,212,330,447,201.59765625,1.68,Johnson_V,13:34:03.633152
Moris20220926/mor.2022B026.220926.DART1.00092.a.fits,212,331,449,201.564453125,1.68,Johnson_V,13:34:10.133235
Moris20220926/mor.2022B026.220926.DART1.00093.a.fits,212,330,443,201.5390625,1.68,Johnson_V,13:34:16.632008
Moris20220926/mor.2022B026.220926.DART1.00094.a.fits,212,330,416,201.6484375,1.68,Johnson_V,13:34:23.170939
Moris20220926/mor.2022B026.220926.DART1.00095.a.fits,212,331,453,201.529296875,1.68,Johnson_V,13:34:29.691465
Moris20220926/mor.2022B026.220926.DART1.00096.a.fits,212,331,419,201.6171875,1.68,Johnson_V,13:34:36.201282
Moris20220926/mor.2022B026.220926.DART1.00097.a.fits,212,330,411,201.697265625,1.68,Johnson_V,13:34:42.691673
Moris20220926/mor.2022B026.220926.DART1.00098.a.fits,213,331,426,201.650390625,1.68,Johnson_V,13:34:49.182320
Moris20220926/mor.2022B026.220926.DART1.00099.a.fits,213,331,449,201.5859375,1.68,Johnson_V,13:34:55.681093
Moris20220926/mor.2022B026.220926.DART1.00100.a.fits,276,330,455,201.599609375,1.68,Johnson_V,13:35:02.222062
Moris20220926/mor.2022B026.220926.DART1.00101.a.fits,276,330,435,201.51953125,1.68,Johnson_V,13:35:08.712905
Moris20220926/mor.2022B026.220926.DART1.00102.a.fits,275,330,437,201.595703125,1.68,Johnson_V,13:35:15.201829
Moris20220926/mor.2022B026.220926.DART1.00103.a.fits,277,329,467,201.701171875,1.68,Johnson_V,13:35:21.691942
Moris20220926/mor.2022B026.220926.DART1.00104.a.fits,276,331,502,201.630859375,1.68,Johnson_V,13:35:28.181583
Moris20220926/mor.2022B026.220926.DART1.00105.a.fits,276,332,479,201.57421875,1.68,Johnson_V,13:35:34.702837
Moris20220926/mor.2022B026.220926.DART1.00106.a.fits,276,331,503,201.60546875,1.681,Johnson_V,13:35:41.191383
Moris20220926/mor.2022B026.220926.DART1.00107.a.fits,277,331,506,201.689453125,1.681,Johnson_V,13:35:47.712433
Moris20220926/mor.2022B026.220926.DART1.00108.a.fits,277,331,468,201.552734375,1.681,Johnson_V,13:35:54.202965
Moris20220926/mor.2022B026.220926.DART1.00109.a.fits,276,330,434,201.646484375,1.681,Johnson_V,13:36:00.692457
Moris20220926/mor.2022B026.220926.DART1.00110.a.fits,275,331,487,201.650390625,1.681,Johnson_V,13:36:07.210788
Moris20220926/mor.2022B026.220926.DART1.00111.a.fits,277,331,452,201.513671875,1.681,Johnson_V,13:36:13.690935
Moris20220926/mor.2022B026.220926.DART1.00112.a.fits,276,330,427,201.5859375,1.681,Johnson_V,13:36:20.201877
Moris20220926/mor.2022B026.220926.DART1.00113.a.fits,276,331,417,201.587890625,1.681,Johnson_V,13:36:26.720975
Moris20220926/mor.2022B026.220926.DART1.00114.a.fits,276,330,391,201.625,1.681,Johnson_V,13:36:33.223310
Moris20220926/mor.2022B026.220926.DART1.00115.a.fits,276,329,426,201.66015625,1.681,Johnson_V,13:36:39.722519
Moris20220926/mor.2022B026.220926.DART1.00116.a.fits,277,330,475,201.6015625,1.681,Johnson_V,13:36:46.252224
Moris20220926/mor.2022B026.220926.DART1.00117.a.fits,277,331,411,201.607421875,1.681,Johnson_V,13:36:52.790856
